name,lat,lng,start,end,load,priority
Daily Dose Cafe and Restaurant,-33.98211,151.234624,,,,
Driftwood on the bay,-33.9880275,151.232624,06:00,,3,high
Bare Grill and Cafe,-33.9880673,151.2326939,12:00,15:00,2,low
Cafe Japone,-33.9238207,151.2441397,,,,
Kürtősh,-33.9203821,151.2421815,,,,
Eggshellent,-33.91322,151.239764,12:00,15:00,3,low
A Man and his Monkey Cafe,-33.909788,151.251265,,,2,high
Green Mango Cafe & Catering,-33.9116406,151.2540766,12:00,15:00,1,low
Bellagio Cafe,-33.9027117,151.2550154,12:00,15:00,3,low
Garden Cafe Waverley,-33.9022131,151.2549622,12:00,15:00,1,low
Cafe Sorelle,-33.900873,151.254446,,,,
Chapter One Coffee & Wine Room,-33.8937958,151.2728571,12:00,15:00,1,low
Icebergs Terrace Cafe,-33.8953684,151.2745751,,,,
Max Brenner Chocolate Bar,-33.891317,151.2512188,,,,
Pure Sugar Cafe,-33.890309,151.243044,12:00,15:00,1,low
Micky's,-33.8850012,151.2276195,,,,
Berkelouw Café 1812,-33.8827006,151.2200355,12:00,15:00,3,low
Piccolo Bar Cafe,-33.8738989,151.2250245,12:00,15:00,1,low
Cafe Hernandez,-33.8760141,151.2251591,,,,
Knickknack Cafe,-33.877138,151.2116334,,,,
Oasis Cafe,-33.8777298,151.2130804,12:00,15:00,3,low
NU Healthy Cafe - Darlinghurst,-33.878865,151.213811,06:00,,3,high
Catmosphere Cat Cafe,-33.8845354,151.2113085,12:00,15:00,1,low
Lion Corner Cafe,-33.8860865,151.2104491,,,,
